; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540156680,"CurrentTimeLocal","Sun Oct 21 14:18:00 2018","Hostname","nid02171","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.3e-05
; "Time_ContextDestroy [ms]", 6.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,9,70,"Success",0.000254,0.162605,0.16086,0.004843,0.106905,0.106473,0.002557,0.001773,0.546562,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,10,70,"Success",0.000275,0.162664,0.160702,0.004792,0.106719,0.106461,0.002563,0.001716,0.54618,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,11,70,"Success",0.000269,0.162362,0.161544,0.004857,0.106951,0.106426,0.002573,0.001754,0.547002,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,0,71,"Warmup",0.000594,3.407913,3.246326,0.187677,3.337991,2.782827,0.081886,0.002838,13.04859,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,1,71,"Warmup",0.000375,3.182344,3.082926,0.077438,2.944526,2.779172,0.081906,0.00272,12.151844,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,2,71,"Success",0.000328,3.173488,3.078059,0.07748,2.94569,2.778257,0.081763,0.002551,12.138035,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,3,71,"Success",0.000325,3.200317,3.085684,0.077541,2.938884,2.77756,0.082059,0.002761,12.165635,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,4,71,"Success",0.000318,3.178406,3.085094,0.077371,2.936648,2.796001,0.08179,0.002639,12.158759,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,5,71,"Success",0.000359,3.1776,3.0863,0.077388,2.938129,2.780168,0.081735,0.002614,12.144816,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,6,71,"Success",0.000355,3.191265,3.085924,0.077521,2.948709,2.769819,0.081951,0.002525,12.158532,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,7,71,"Success",0.000358,3.17565,3.08717,0.077432,2.991679,2.771838,0.081777,0.002491,12.188923,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,8,71,"Success",0.000332,3.176692,3.089109,0.07775,2.945514,2.769259,0.082008,0.002565,12.143722,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,9,71,"Success",0.000359,3.192589,3.085042,0.077511,2.94759,2.769679,0.087893,0.002736,12.163906,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,10,71,"Success",0.000335,3.167665,3.08733,0.077733,2.942749,2.778748,0.081745,0.00254,12.139377,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,11,71,"Success",0.000334,3.163845,3.083122,0.077648,3.019031,2.775055,0.081736,0.002603,12.203897,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,0,72,"Warmup",0.001111,109.829662,105.076305,2.368391,100.079859,109.4485,1.518872,5.296116,433.620339,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,1,72,"Warmup",0.001709,108.809153,104.971079,2.358244,101.933453,110.900849,1.512523,5.280116,435.768542,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,2,72,"Success",0.001744,108.694281,104.913166,2.357998,101.639822,109.517821,1.514714,5.303925,433.945197,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,3,72,"Success",0.00143,108.779762,104.898295,2.363774,102.37696,109.71143,1.514418,5.247444,434.895042,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,4,72,"Success",0.001248,108.761521,104.911332,2.371999,101.861225,109.598306,1.514622,5.311846,434.333605,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,5,72,"Success",0.001761,108.6395,105.001472,2.366193,101.202906,109.296565,1.527873,5.340293,433.377925,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,6,72,"Success",0.001552,108.793311,104.933287,2.366052,98.545998,109.316494,1.51757,5.258131,430.733818,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,7,72,"Success",0.00141,108.74916,104.830835,2.366362,99.46485,109.547835,1.517397,5.302496,431.78228,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,8,72,"Success",0.001405,108.969842,105.028687,2.360315,101.381183,109.423252,1.516369,5.306128,433.988905,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,9,72,"Success",0.001647,108.805244,104.920692,2.366171,99.559093,109.564037,1.522209,5.258501,431.998864,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,10,72,"Success",0.001312,108.681995,105.276644,2.366102,101.304079,109.598471,1.518305,5.255008,434.003422,19808800,0,19808792,3.3840814219e-16,0
