; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540697996,"CurrentTimeLocal","Sat Oct 27 20:39:56 2018","Hostname","nid01146","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 0.000147
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,0,0,"Warmup",0.004999,29.516789,29.212012,0.012637,3.835665,3.77646,0.015587,0.33423,66.709075,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,1,0,"Warmup",0.005519,29.403361,29.370243,0.012732,3.846116,3.787703,0.01475,0.336057,66.777254,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,2,0,"Success",0.006379,29.348206,28.580493,0.01268,3.849213,3.760976,0.015763,0.333871,65.908309,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,3,0,"Success",0.005562,29.059061,28.892895,0.012441,3.825744,3.743172,0.016235,0.338578,65.894666,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,4,0,"Success",0.005587,29.21047,29.192521,0.012632,3.83724,3.7749,0.015475,0.340462,66.390033,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,5,0,"Success",0.005525,29.3702,29.404173,0.012451,3.858646,3.786779,0.015,0.338885,66.792376,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,6,0,"Success",0.00567,29.457021,29.833675,0.01276,3.8222,3.784767,0.015573,0.338545,67.271016,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,7,0,"Success",0.005532,29.517091,29.20295,0.012792,3.84828,3.764569,0.016652,0.335642,66.704244,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,8,0,"Success",0.005595,29.72481,29.222771,0.012453,3.8273,3.763709,0.015477,0.337521,66.910398,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,9,0,"Success",0.005512,29.881277,29.717904,0.012666,3.85914,3.765191,0.015432,0.338919,67.596774,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,10,0,"Success",0.005599,29.833964,29.038123,0.012568,3.804316,3.767022,0.015993,0.336525,66.814967,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,11,0,"Success",0.005604,29.436335,29.609916,0.012807,3.842101,3.789697,0.016431,0.338551,67.052183,131064,0,131064,1.1179392363e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,0,1,"Warmup",0.008953,24.64592,26.977824,0.195421,4.051878,0.202799,0.06719,0.893782,57.044376,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,1,1,"Warmup",0.005685,24.281603,26.78114,0.045587,4.088873,0.206939,0.067267,0.812411,56.290411,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,2,1,"Success",0.005604,24.357648,26.9221,0.046379,4.166986,0.20418,0.068085,0.798429,56.5701,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,3,1,"Success",0.005649,24.396031,26.804448,0.046559,4.138618,0.206456,0.067419,0.814277,56.480058,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,4,1,"Success",0.005644,24.346019,26.799833,0.046016,4.170369,0.205484,0.067402,0.803655,56.445132,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,5,1,"Success",0.00558,25.049092,26.715069,0.046175,4.014914,0.203667,0.067433,0.819071,56.921627,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,6,1,"Success",0.005667,24.323636,26.872011,0.046506,4.045419,0.203767,0.06726,0.804381,56.369309,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,7,1,"Success",0.005775,24.352635,26.930228,0.04606,3.972666,0.204123,0.068275,0.807904,56.388327,524280,0,524280,7.7207827339e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,8,1,"Success",0.005454,24.423137,26.928956,0.046197,4.018671,0.203264,0.067816,0.795682,56.489813,524280,0,524280,7.7207827339e-08,0
