; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540674234,"CurrentTimeLocal","Sat Oct 27 14:03:54 2018","Hostname","nid01889","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 2.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.003514,4.034224,3.462131,0.319106,3.346517,2.95534,0.039887,0.002812,14.163954,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.00038,3.067118,2.946655,0.037598,3.154629,2.954011,0.039998,0.00265,12.203417,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,2,54,"Success",0.000274,3.043563,2.941763,0.037602,3.154803,2.952756,0.040057,0.002671,12.173801,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,3,54,"Success",0.000288,3.043302,2.950132,0.037635,3.147568,2.956112,0.039957,0.002675,12.178002,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,4,54,"Success",0.000249,3.042407,2.952097,0.037624,3.146795,2.970191,0.040007,0.002539,12.192252,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,5,54,"Success",0.000267,3.050397,2.951341,0.037657,3.146946,2.954811,0.039853,0.002585,12.184207,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,6,54,"Success",0.000265,3.042834,2.951103,0.037444,3.161397,2.947277,0.040038,0.002564,12.183251,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,7,54,"Success",0.000281,3.043072,2.950549,0.037595,3.174974,2.948846,0.040055,0.002582,12.198271,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,8,54,"Success",0.000273,3.051173,2.949787,0.037488,3.152912,2.945962,0.040083,0.002595,12.180584,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,9,54,"Success",0.000307,3.042036,2.957021,0.037492,3.152484,2.954396,0.039979,0.002626,12.186643,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,10,54,"Success",0.000246,3.043524,2.950393,0.037512,3.154844,2.952821,0.03993,0.002547,12.182143,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",130321,0,0,11,54,"Success",0.000248,3.05188,2.953048,0.03742,3.153843,2.953561,0.040099,0.002611,12.193054,521288,0,521284,8.6339423283e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.00424,77.467316,67.678201,7.023428,81.506053,74.531279,0.784806,4.676019,313.672161,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.004642,78.374059,67.728595,6.927547,81.106943,75.235231,0.794454,4.687922,314.86048,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,2,55,"Success",0.004521,78.613234,67.660104,6.900703,81.106057,75.011444,0.784893,4.656933,314.738901,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,3,55,"Success",0.005165,78.290789,67.67941,6.908543,80.366093,74.727916,0.794729,4.66242,313.43578,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,4,55,"Success",0.00456,78.321461,67.67754,6.906705,81.407426,74.517326,0.788258,4.645482,314.269582,9904400,0,9904396,1.292071046e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",2476099,0,0,5,55,"Success",0.00552,78.464448,67.919908,6.915312,81.247908,75.216495,0.795422,4.660274,315.226073,9904400,0,9904396,1.292071046e-07,0
