; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540722755,"CurrentTimeLocal","Sun Oct 28 03:32:35 2018","Hostname","nid00725","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.2e-05
; "Time_ContextDestroy [ms]", 7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,71,"Warmup",0.004984,68.86754,67.468399,0.117413,1.170381,0.922754,0.135156,0.689264,139.376548,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,71,"Warmup",0.005537,68.627253,69.231032,0.083868,1.148183,0.92179,0.134998,0.682465,140.835813,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,71,"Success",0.005556,67.663453,69.638339,0.085698,1.106764,0.899356,0.134502,0.690508,140.224914,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,71,"Success",0.0056,68.635281,69.932353,0.080477,1.167505,0.896191,0.134679,0.689703,141.542618,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,71,"Success",0.005537,67.217779,67.859177,0.082197,1.14706,0.91074,0.135129,0.682882,138.041229,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,71,"Success",0.006371,70.05708,68.279859,0.083144,1.110967,0.91166,0.134062,0.692147,141.275934,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,71,"Success",0.005718,66.88897,68.398301,0.08338,1.132249,0.900399,0.134232,0.697019,138.240923,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,71,"Success",0.005544,70.022168,68.933871,0.081694,1.145353,0.90067,0.134422,0.694354,141.918699,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,71,"Success",0.005467,68.205066,68.684479,0.081433,1.1262,0.908601,0.134548,0.690477,139.837049,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,71,"Success",0.005559,69.531597,70.245027,0.081381,1.207297,0.919405,0.134409,0.693855,142.819223,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,71,"Success",0.005548,69.436721,68.58421,0.082771,1.163273,0.905167,0.134797,0.695714,141.008963,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,71,"Success",0.005648,68.755816,69.237005,0.081866,1.10227,0.904531,0.133768,0.703278,140.924903,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,72,"Warmup",0.003545,151.534406,127.70842,2.105232,20.389395,19.860124,2.555345,0.531207,324.68852,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,72,"Warmup",0.004579,138.25621,128.053813,2.011968,20.662987,19.87501,2.597274,0.533003,311.995513,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,72,"Success",0.003719,139.82423,128.724592,2.016237,20.756579,19.979135,2.568509,0.570924,314.444583,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,72,"Success",0.00375,140.674274,130.60296,2.005581,20.464867,19.945527,2.571626,0.523789,316.793012,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,72,"Success",0.003709,136.69762,130.515896,2.025596,20.573356,19.88918,2.583342,0.535913,312.825301,19808792,0,19808792,9.6167372373e-08,0
