; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1538716216,"CurrentTimeLocal","Thu Oct  4 22:10:16 2018","Hostname","nid01031","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 3.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,0,72,"Warmup",0.001232,108.60256,104.555373,2.359764,102.497492,111.365457,1.508219,5.183969,436.075345,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,1,72,"Warmup",0.001504,108.435748,104.688524,2.341235,102.853198,111.847648,1.501346,5.189725,436.860202,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,2,72,"Success",0.001945,108.442046,104.94689,2.361495,101.341681,111.611004,1.500492,5.181341,435.388174,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,3,72,"Success",0.001477,108.346631,104.57888,2.360884,102.341652,111.314894,1.508624,5.186503,435.640567,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,4,72,"Success",0.001969,108.314427,104.737769,2.364698,104.373552,110.496852,1.504529,5.181498,436.976401,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,5,72,"Success",0.001211,108.366843,104.615051,2.371411,103.862573,110.918002,1.51174,5.157063,436.805277,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,6,72,"Success",0.001474,139.626815,105.533518,2.416176,99.230399,110.068594,1.528633,5.220842,463.62785,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,7,72,"Success",0.001936,108.797468,105.01673,2.416206,100.298423,110.182371,1.532332,5.219195,433.465759,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,8,72,"Success",0.001311,108.739429,105.023806,2.400407,101.863576,110.511019,1.536251,5.198283,435.27526,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,9,72,"Success",0.00136,108.855843,105.012516,2.401613,100.177592,112.247927,1.531103,5.228479,435.457826,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,10,72,"Success",0.001479,108.84323,105.000435,2.405854,100.580257,110.43997,1.532421,5.186585,433.991232,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",2476099,0,0,11,72,"Success",0.001632,108.88617,105.199945,2.412369,101.453456,109.243959,1.537165,5.196471,433.932556,19808800,0,19808792,3.3840814219e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,0,73,"Warmup",0.007433,5516.771159,5511.348846,265.300357,2563.864407,2729.236048,44.34088,874.587821,17505.458545,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,1,73,"Warmup",0.008432,5517.370054,5528.133252,266.544007,2568.484797,2727.91265,43.917261,875.226562,17527.598511,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,2,73,"Success",0.008724,5522.82078,5527.308479,266.565594,2568.28346,2721.074158,43.823489,875.091608,17524.978031,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,3,73,"Success",0.008615,5521.548115,5522.190082,267.1548,2569.584965,2728.905535,43.9764,874.331247,17527.701331,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,4,73,"Success",0.007935,5518.673575,5522.840941,266.883966,2569.599913,2727.129281,43.861918,1193.409362,17842.408301,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,5,73,"Success",0.008834,5568.972366,5534.433072,266.865636,2569.817438,2725.570504,44.040342,873.720231,17583.429985,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,6,73,"Success",0.008903,5518.874635,5534.451272,266.867809,2571.722477,2723.835697,43.672514,874.328686,17533.763466,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,7,73,"Success",0.009029,5516.208328,5526.736553,266.678773,2567.64481,2723.981748,44.234169,873.940214,17519.43512,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,8,73,"Success",0.007773,5513.334783,5530.652353,266.775683,2568.061328,2720.041033,44.255882,876.009982,17519.140478,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,9,73,"Success",0.009045,5521.383903,5524.436006,267.007126,2569.390745,2725.274196,44.276651,876.338248,17528.117477,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,10,73,"Success",0.00855,5517.481788,5530.054276,266.79041,2571.068221,2725.724801,43.947528,875.186259,17530.263299,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,11,73,"Success",0.00806,5514.756865,5525.96823,266.736263,2590.972548,2728.514105,44.161841,873.815248,17544.934654,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,0,0,"Warmup",0.000205,0.001808,0.0007,8.9e-05,8.3e-05,0.00014,1.9e-05,0.000846,0.004065,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,1,0,"Warmup",0.000211,0.001856,0.000714,9.8e-05,8.4e-05,0.000137,2.2e-05,0.000865,0.004174,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,2,0,"Success",0.000231,0.001806,0.000701,8.3e-05,8e-05,0.000141,1.9e-05,0.000856,0.004092,48,0,32,0,0
